loss,feature_norm
10257.900506,2.963791
10257.703508,2.964013
10257.682824,2.962596
10257.478222,2.962888
10256.109454,2.956075
10256.088079,2.956198
10256.029926,2.955423
10256.008212,2.955552
10255.959082,2.954809
10255.935196,2.954928
10255.89401,2.954218
10255.867116,2.954166
10255.810574,2.953005
10255.746761,2.952857
10255.720314,2.951376
10255.7193,2.950661
10255.546439,2.947244
10255.326163,2.94603
10255.108797,2.94371
10255.039388,2.942205
10254.87196,2.938382
10254.603363,2.935519
10254.579069,2.92861
10254.271463,2.929861
10254.109312,2.920848
10253.799164,2.922053
10253.610075,2.913769
10253.375481,2.914784
10253.183552,2.908468
10253.003964,2.901825
10252.951315,2.889332
10252.570059,2.891704
10252.338618,2.877324
10252.082833,2.879303
10251.867748,2.869001
10251.808027,2.870131
10251.622816,2.8644
10251.534344,2.86476
10251.458248,2.861613
10251.209631,2.861637
10251.095405,2.858122
10250.967561,2.85852
10250.924672,2.857493
10250.81076,2.857856
10250.76097,2.856111
10250.751759,2.856639
10250.453675,2.853779
10250.412166,2.853666
10250.157434,2.850352
10249.966865,2.84979
10249.809333,2.845022
10249.419758,2.843655
10249.39665,2.836474
10248.997222,2.839309
10248.797979,2.831146
10248.492558,2.833775
10248.252069,2.826496
10248.236591,2.822643
10247.454008,2.812412
10247.097874,2.814715
10247.006741,2.807919
10246.703767,2.809668
10246.589164,2.802494
10246.343039,2.80473
10246.115058,2.799156
10246.052194,2.801037
10245.766987,2.795095
10245.75164,2.796937
10245.432563,2.791298
10245.337328,2.792219
10245.272382,2.789484
10245.183918,2.790441
10245.107187,2.787668
10245.031439,2.788674
10244.937446,2.785882
10244.54402,2.788958
10244.217304,2.785052
10244.143578,2.786365
10244.009879,2.78428
10243.935023,2.785536
10243.813703,2.783755
10243.712232,2.784143
10243.63912,2.782407
10243.580171,2.781918
10243.329599,2.778076
10243.305495,2.780564
10242.953753,2.775243
10242.80628,2.776496
10242.758246,2.774112
10242.640272,2.775315
10242.577807,2.77328
10242.494519,2.774405
10242.423389,2.772308
10242.34805,2.773492
10242.266921,2.771431
10242.193711,2.770508
10241.984373,2.766114
10241.954958,2.769167
10241.621795,2.762803
10241.489189,2.764382
10241.425367,2.761687
10241.335579,2.763284
10241.308092,2.758906
10241.0759,2.761898
10240.949735,2.757632
10240.84258,2.761163
10240.637407,2.755762
10240.596985,2.759498
10240.331696,2.75449
10240.060149,2.760804
10239.763775,2.75477
10239.577507,2.758019
10239.43921,2.755932
10239.333993,2.759234
10239.195117,2.756153
10239.066102,2.759356
10239.000847,2.755642
10238.800894,2.759634
10238.746629,2.756098
10238.531225,2.759513
10238.453046,2.757894
10238.404103,2.7589
10238.253321,2.755126
10238.180416,2.759408
10237.988282,2.754336
10237.886739,2.758539
10237.733765,2.753244
10237.599058,2.757358
10237.45616,2.753422
10237.372326,2.756791
10237.266057,2.752755
10237.151652,2.756064
10237.085919,2.752108
10236.94051,2.755351
10236.916536,2.751535
10236.740255,2.754732
10236.6788,2.753009
10236.604598,2.753366
10236.554806,2.748658
10236.409967,2.7531
10236.321524,2.747132
10236.181057,2.751482
10236.09482,2.745667
10235.983013,2.749627
10235.866444,2.745666
10235.847842,2.748784
10235.724562,2.744958
10235.585859,2.750568
10235.442124,2.745883
10235.339406,2.74878
10235.301849,2.746157
10235.201149,2.749016
10235.166646,2.746601
10235.060179,2.749211
10235.01723,2.747732
10234.981348,2.749005
10234.940044,2.747535
10234.898103,2.748855
10234.856246,2.747333
10234.811729,2.748737
10234.764128,2.74715
10234.721864,2.748515
10234.712055,2.745232
10234.543867,2.747921
10234.490051,2.746377
10234.460351,2.747568
10234.416955,2.746127
10234.385037,2.747204
10234.352233,2.745904
10234.318843,2.746897
10234.106782,2.743921
10234.079308,2.744496
10234.052911,2.743224
10234.016815,2.743951
10233.992969,2.74273
10233.958472,2.74342
10233.722051,2.73819
10233.574606,2.741482
10233.415041,2.737363
10233.351608,2.740344
10233.219703,2.735932
10233.1376,2.73899
10233.008409,2.735036
10232.920549,2.737924
10232.842984,2.733814
10232.726131,2.736812
10232.661633,2.732929
10232.554011,2.735916
10232.48575,2.73221
10232.390723,2.73502
10232.329625,2.731473
10232.241264,2.734265
10232.176847,2.73086
10232.101566,2.733591
10232.032577,2.730317
10231.929779,2.733009
10231.909872,2.729714
10231.79955,2.732643
10231.76096,2.729272
10231.657982,2.73227
10231.612412,2.728882
10231.516282,2.73198
10231.438063,2.728789
10231.368569,2.731768
10231.293953,2.728562
10231.225596,2.73168
10231.141266,2.728439
10231.086448,2.731674
10230.981513,2.728418
10230.945719,2.731753
10230.814198,2.72855
10230.809654,2.731898
10230.650545,2.728757
10230.55998,2.730431
10230.517237,2.730315
10230.486823,2.732169
10230.418561,2.73108
10230.368471,2.733105
10230.310241,2.73218
10230.234105,2.734294
10230.205786,2.733562
10230.098428,2.735517
10230.06414,2.735098
10230.052294,2.736707
10229.970637,2.735936
10229.903531,2.737812
10229.891441,2.737132
10229.785302,2.738836
10229.75666,2.738528
10229.727215,2.740205
10229.682511,2.739636
10229.613032,2.741182
10229.575326,2.740958
10229.54691,2.742114
10229.522092,2.741662
10229.442415,2.743302
10229.401115,2.743026
10229.360906,2.744119
10229.31283,2.743821
10229.30925,2.744386
10229.231885,2.74382
10229.210894,2.745578
10229.155433,2.744558
10229.103575,2.74605
10229.087394,2.745244
10229.043718,2.746323
10229.03284,2.746103
10228.972241,2.746369
10228.954515,2.74568
10228.942125,2.746745
10228.908146,2.745767
10228.893338,2.746862
10228.860982,2.745857
10228.842468,2.746955
10228.825876,2.745867
10228.779176,2.747193
10228.759988,2.746679
10228.692502,2.749419
10228.667669,2.748462
10228.642113,2.750237
10228.614101,2.749354
10228.566364,2.750439
10228.544194,2.750049
10228.536621,2.750636
10228.502239,2.74971
10228.46703,2.75073
10228.449402,2.749576
10228.389723,2.750568
10228.364518,2.749866
10228.336763,2.749901
10228.296481,2.748089
10228.222853,2.749106
10228.216997,2.746365
10228.078741,2.747294
10228.044234,2.745722
10228.027246,2.746128
10227.917969,2.742976
10227.848692,2.742907
10227.802859,2.73913
10227.749012,2.741169
10227.680943,2.737149
10227.651143,2.738926
10227.583906,2.73562
10227.544106,2.73517
10227.525994,2.731483
10227.510449,2.734397
10227.380568,2.727757
10227.306614,2.729127
10227.301803,2.726678
10227.267383,2.72794
10227.236452,2.725694
10227.14984,2.727727
10227.144583,2.724771
10227.12561,2.72771
10226.979636,2.72409
10226.976477,2.727106
10226.819146,2.723732
10226.795971,2.726652
10226.697767,2.722747
10226.629916,2.725798
10226.562361,2.722162
10226.461945,2.725057
10226.447478,2.721615
10226.308767,2.724326
10226.246896,2.722682
10226.240513,2.723954
10226.19837,2.722355
10226.176629,2.723603
10226.15401,2.722033
10226.117762,2.723256
10226.114052,2.721714
10226.063561,2.722911
10226.052184,2.722929
10226.014862,2.724136
10225.994745,2.723645
10225.900574,2.726064
10225.536048,2.735013
10225.527699,2.734851
10225.527441,2.735364
10225.520258,2.735116
10225.511149,2.735564
10225.507748,2.735449
10225.506458,2.735761
10225.503642,2.735193
10225.490138,2.735959
10225.466857,2.735235
10225.462426,2.735699
