loss,feature_norm
41138.352714,0.303029
28304.367212,0.107739
28012.146005,0.151307
27194.292724,0.148917
25078.711581,0.278934
22630.914415,0.364128
17189.734525,0.881396
15909.92265,1.202403
15486.998829,1.40396
15258.840915,1.539991
15065.728374,1.695002
14668.316282,1.81775
14150.283702,2.036034
13320.749486,2.198967
13120.362762,2.087556
12873.670955,1.972066
12812.570006,2.399147
12146.168551,2.3868
12004.650017,2.398273
11857.950989,2.548711
11845.390623,2.614803
11827.794667,2.643087
11751.343728,2.773403
11603.153758,3.02558
11494.454458,3.302738
11383.294672,3.454943
11375.749949,3.450162
11354.952801,3.429097
11091.692173,3.696983
10577.716089,4.316077
10236.909367,4.154439
10049.337533,4.612873
9786.470674,4.927108
9775.018898,4.964179
9760.0457,5.091106
9713.15731,5.127078
9372.237784,5.606815
9311.885452,5.804623
9259.341827,6.196724
9238.464167,6.340172
9234.198579,6.388911
9230.130403,6.40239
9188.312903,6.566741
9047.899206,7.268856
8978.781973,7.627186
8877.444167,8.18472
8853.180938,8.079273
8825.965113,8.076993
8786.029351,8.123906
8713.85427,8.175619
8650.554835,8.236415
8607.547654,8.320079
8437.944376,8.602667
8399.530607,8.657707
8397.63921,8.660869
8343.917126,8.764183
8323.515763,8.801699
8295.615255,8.850429
8246.018367,8.956687
8124.826607,9.119159
8033.816967,9.21473
8031.616748,9.216239
7966.846479,9.305794
7919.176971,9.362039
7806.641166,9.699642
7766.593457,9.794773
7696.941083,10.099543
7595.806109,10.483122
7580.513345,10.549864
7516.15817,10.929831
7435.187385,11.141119
7334.101812,11.52801
7321.283792,11.510106
7299.167407,11.478769
7280.12982,11.46629
7278.344954,11.467937
7259.266707,11.421647
7230.32424,11.914573
7122.713632,12.266887
7048.13267,13.018639
6969.359344,13.815998
6939.996316,13.620107
6938.09414,13.580313
6930.901986,13.469965
6917.100052,13.445818
6888.103106,13.354145
6840.404016,13.441261
6827.623733,13.632823
6823.103305,13.788107
6819.586963,13.855073
6772.659111,14.30732
6757.770677,14.460212
6677.084487,14.947631
6625.627683,15.170129
6615.746364,15.055606
6602.581559,15.01065
6585.115815,14.948827
6555.695584,15.033943
6555.420729,15.169331
6533.952908,15.425864
6524.662282,15.759893
6521.642589,15.942758
6515.639707,16.048015
6500.699639,16.304113
6472.36811,16.284885
6471.983357,16.381294
6442.820448,16.211151
6420.716043,16.968034
6404.146779,16.81309
6394.159771,16.820725
6379.556424,16.911144
6359.116339,17.103814
6323.917592,17.979085
6292.193486,18.414386
6265.065318,18.503941
6252.306979,18.73171
6245.886648,18.806555
6237.87647,19.381532
6222.113481,19.519479
6184.170305,19.141064
6131.628758,21.062073
6106.887935,20.804298
6101.078948,20.774914
6099.70958,20.878606
6095.225851,21.079265
6088.341094,21.535799
6077.961539,21.805579
6059.286456,22.614944
6045.853029,22.531123
6028.758817,22.390458
6019.92079,22.015852
6016.800302,21.984431
6000.497192,22.732385
5988.433487,22.879224
5981.110503,22.897879
5937.222824,23.214744
5926.341685,23.766096
5906.09314,24.131355
5881.23827,24.025002
5842.47307,22.271639
5832.302207,22.522054
5822.663244,22.560884
5763.960246,23.435281
5754.058601,23.763965
5750.316651,24.343653
5748.81786,24.223098
5747.414779,24.208335
5743.892566,24.023233
5736.889245,23.828924
5693.033253,22.790396
5616.897775,23.565503
5570.452847,29.593374
5569.668724,29.647125
5520.844836,27.654276
5519.913178,27.812832
5516.8656,27.546094
5465.950743,28.659271
5404.596383,29.364547
5336.052159,30.441461
5334.546989,30.561941
5286.386099,31.339658
5285.172075,31.571139
5258.449049,31.849198
5174.442609,34.298501
5136.673226,33.84831
5118.771623,33.221095
5118.157122,33.131262
5115.81777,32.988098
5114.948261,32.851196
5110.670169,32.636985
5103.997571,32.47143
5092.043525,32.21362
5074.517767,32.294488
5074.162073,32.214139
5048.966065,32.564624
5047.647378,32.394234
5041.602035,32.682988
5027.348626,32.881548
5011.532231,32.864492
4933.909386,32.478649
4933.477914,32.39292
4926.866252,32.286226
4926.227133,32.1952
4923.83107,32.095494
4917.562021,32.054701
4893.140588,32.320993
4874.633785,32.045242
4870.329722,31.939931
4841.395395,32.815087
4833.53922,33.127834
4830.829852,33.588217
4829.817001,33.399774
4829.296898,33.333473
4827.132898,33.185408
4825.076556,32.977454
4818.340624,32.925681
4806.618257,33.087217
4785.273905,33.814336
4770.301406,34.632674
4762.071484,35.00395
4755.912096,35.26409
4750.404846,35.579802
4745.301928,35.504415
4734.096057,35.691666
4704.96152,36.085229
4699.255646,35.9851
4696.789847,35.687969
4696.055117,35.5999
4695.216282,35.513037
4693.480297,35.399047
4689.291052,35.219873
4682.73495,35.016436
4672.835239,34.974447
4661.373951,35.690721
4658.519901,35.598662
4654.522718,35.468663
4653.681264,35.506223
4651.151591,35.514661
4631.658732,36.077198
4610.12737,36.106388
4594.162487,37.56553
4580.661391,37.025141
4575.989456,36.879037
4575.262263,36.810911
4573.720693,36.943201
4568.806331,36.956401
4561.591758,37.281192
4549.12979,37.299632
4539.985424,37.68855
4527.478165,37.558973
4523.54428,37.565265
4521.422147,37.590873
4517.884799,37.623256
4516.182301,37.796289
4515.098144,37.874819
4514.545836,38.38052
4513.924337,38.41941
4512.497022,38.242801
4511.858568,38.249304
4507.368898,38.401587
4502.872912,38.6847
4501.972397,38.906801
4497.93875,39.310143
4495.640458,39.698199
4493.443011,39.794977
4490.376958,39.848042
4486.617675,40.228472
4477.440073,40.206313
4449.273706,40.275537
4446.815963,39.965128
4430.569995,39.841806
4427.64198,40.216262
4423.758029,40.13434
4419.379674,40.186898
4405.852731,40.3762
4396.421286,41.162022
4374.44707,41.071641
4347.426182,41.74763
4338.270133,44.614225
4300.890627,43.558316
4293.828259,43.242183
4289.458415,43.315454
4288.401232,43.191976
4287.98321,43.301858
4285.250254,42.953317
4282.257018,42.988242
4280.782585,42.783922
4271.550137,43.383264
4261.699626,43.630503
4253.247771,44.298685
4225.854598,44.321315
4207.047671,46.115795
4202.770044,45.286074
4201.59518,45.071846
